epoch,train_loss,validation_loss
1,0.3705158233642578,0.3809763342142105
2,0.3474846227715413,0.3543975204229355
3,0.3289478123188019,0.31211893260478973
4,0.3068301056822141,0.27762439101934433
5,0.28146910667419434,0.2731144428253174
6,0.24514385250707468,0.19688036292791367
7,0.21043944731354713,0.18794023245573044
8,0.20099279594918093,0.1413738988339901
9,0.18146123675008616,0.13331399112939835
10,0.18251676702251038,0.1294802464544773
11,0.1724668052047491,0.12465408071875572
12,0.1698779808357358,0.11846737563610077
13,0.17818391229957342,0.14206962659955025
14,0.16060286853462458,0.11084451898932457
15,0.16585538629442453,0.11407358944416046
16,0.15561874055614075,0.11315326020121574
17,0.15620879425356785,0.10361766070127487
18,0.14415667733798423,0.10355333611369133
19,0.15445503670101365,0.10830608382821083
20,0.14471138563627997,0.11523130163550377
21,0.1445497558452189,0.10168087482452393
22,0.1508390267069141,0.09707388654351234
23,0.13865772215649486,0.0896759070456028
24,0.14418664885063967,0.09324988722801208
25,0.1519214866372446,0.09927105531096458
26,0.13135734402264157,0.08301244676113129
27,0.1361608087706069,0.08046623691916466
28,0.1299971758077542,0.08237692527472973
29,0.14492286959042153,0.09425252676010132
30,0.125898992177099,0.07441984862089157
31,0.1385560796285669,0.08611729368567467
32,0.13360160092512766,0.071196049451828
33,0.12666725212087235,0.07574299350380898
34,0.13012461240092912,0.08608873561024666
35,0.14887797522048155,0.09342310577630997
36,0.13063436094671488,0.07670258544385433
37,0.12803990735361973,0.06850732117891312
38,0.11480039171874523,0.07131345197558403
39,0.11824339333300789,0.06417090445756912
40,0.11496341476837794,0.06843327544629574
41,0.11363633691022794,0.060159988701343536
42,0.12037596370403965,0.08459731191396713
43,0.10855671639243762,0.06624948419630527
44,0.11062255222350359,0.06685607507824898
45,0.10954518445457022,0.07119995355606079
46,0.1125125262575845,0.06238245218992233
47,0.11434466733286779,0.062011267989873886
48,0.11686530786876877,0.058438174426555634
49,0.10786085575819016,0.0602126307785511
50,0.09493782247106235,0.07419957965612411
51,0.1102179631901284,0.07221085205674171
52,0.10320806968957186,0.06129504181444645
53,0.10754343603427212,0.061467722058296204
54,0.10194035278012355,0.06863421201705933
55,0.09663419091763596,0.06880442425608635
56,0.10738566595440109,0.05760265327990055
57,0.1027687086413304,0.08775130845606327
58,0.1020809723995626,0.05645266734063625
59,0.09729405182103316,0.05856170877814293
60,0.1076437128552546,0.06405339390039444
61,0.10323542193509638,0.055399954319000244
62,0.10171619709581137,0.05420617386698723
63,0.08852469214859109,0.05477195046842098
64,0.091780051899453,0.08717896416783333
65,0.08428344114994009,0.056637657806277275
66,0.0890777891036123,0.05282962881028652
67,0.08075093074391286,0.05446295998990536
68,0.08217817451804876,0.06959031522274017
69,0.08796296268701553,0.0617135688662529
70,0.08436081279069185,0.04712647385895252
71,0.09380982412646215,0.059390367940068245
72,0.07912065321579576,0.05015071481466293
73,0.08377459086477757,0.054949523881077766
74,0.08001438140248258,0.055199334397912025
75,0.07992294003876547,0.07925430499017239
76,0.07941295051326354,0.05866278521716595
77,0.08622264279983938,0.05668668448925018
78,0.07338394752393167,0.05884215980768204
79,0.07242293710199495,0.08888887986540794
80,0.0872335572882245,0.12833444774150848
81,0.08279757512112458,0.05454547144472599
82,0.08071531464035313,0.06387418136000633
83,0.07479856861755252,0.06742877885699272
84,0.08012628508731723,0.04992792382836342
85,0.07386816875077784,0.0880180299282074
86,0.0752255660481751,0.062032550573349
87,0.07131324506675203,0.07144545391201973
88,0.07759676206236084,0.05692613124847412
89,0.07149896887131035,0.0831716563552618
90,0.085186166378359,0.05413205735385418
91,0.07743029777581494,0.06535249575972557
92,0.07416010461747646,0.09573594108223915
93,0.07095871749334037,0.06606127507984638
94,0.07023765030317008,0.06752542220056057
95,0.06816732914497454,0.07202783413231373
