scope,Heats_rank16_absolute_error,Semifinals_rank8_absolute_error,Finals_rank3_absolute_error,Finals_rank1_absolute_error
Female,0.09888336181640156,0.15674743652344247,0.1376239776611321,0.08222106933593665
Male,0.19600921630859602,0.09160095214843977,0.030180511474608096,0.12935447692871094
Combined,0.1474462890624988,0.12417419433594112,0.0839022445678701,0.10578777313232379
