scope,MAE_Heats16,RMSE_Heats16,Bias_Heats16,MAE_Semifinals8,RMSE_Semifinals8,Bias_Semifinals8,MAE_Finals3,RMSE_Finals3,Bias_Finals3,MAE_All27,RMSE_All27,Bias_All27
Female,0.12562499999999988,0.1382253594677905,0.08437499999999964,0.14875000000000105,0.17381743295768792,0.08875000000000055,0.09000000000000104,0.09574271077563505,-0.00333333333333267,0.12851851851851886,0.14591981562691428,0.07592592592592595
Male,0.08250000000000002,0.09420721840708367,0.08250000000000002,0.11124999999999963,0.12067518386147183,0.07874999999999988,0.16000000000000014,0.19096247449870027,0.033333333333332625,0.09962962962962954,0.11673014146280267,0.07592592592592583
Combined,0.10406249999999995,0.11828197242183583,0.08343749999999983,0.13000000000000034,0.14962453007445065,0.08375000000000021,0.12500000000000058,0.15105186747162982,0.014999999999999977,0.1140740740740742,0.1321334903015102,0.07592592592592588
