epoch,train_loss,validation_loss
1,0.3666327968239784,0.3545050770044327
2,0.34309033464108196,0.3180793523788452
3,0.318874003631728,0.2640787959098816
4,0.2892539655523641,0.2513592541217804
5,0.24351910767810686,0.18493149429559708
6,0.20430802048317023,0.12737232819199562
7,0.1812686183090721,0.1145554631948471
8,0.17491961855973517,0.10939104482531548
9,0.1695996512259756,0.10825714841485023
10,0.17264394222625665,0.10405091941356659
11,0.1861437718783106,0.26383157819509506
12,0.1804305405489036,0.11099160462617874
13,0.16130087364997184,0.1089835837483406
14,0.15440716381583894,0.10294774547219276
15,0.14835298087980067,0.09982068464159966
16,0.15032446810177394,0.1000518873333931
17,0.14402219081031425,0.10280778631567955
18,0.13677889720669814,0.10210764408111572
19,0.14913347669477975,0.1001487746834755
20,0.14531383344105311,0.0963982380926609
21,0.13506028947553464,0.08952192589640617
22,0.129075671280069,0.0830935537815094
23,0.13606853357383183,0.2047133818268776
24,0.15163578226097993,0.08578915148973465
25,0.1295167813077569,0.07790040224790573
26,0.1458792851439544,0.08033318817615509
27,0.13081306591629982,0.07970857620239258
28,0.13793091768664972,0.08304030448198318
29,0.12592378311923572,0.07405835017561913
30,0.14560133405029774,0.07551572844386101
31,0.11919660121202469,0.08809088915586472
32,0.1161914783130799,0.08443562313914299
33,0.1367753195975508,0.10318518802523613
34,0.11564596542822463,0.07339335978031158
35,0.11673535632767848,0.10462319105863571
36,0.12608909407364471,0.0940452367067337
37,0.12359276813055788,0.0791942086070776
38,0.11475963105580636,0.06911301985383034
39,0.10431270979877029,0.0681291613727808
40,0.12004286888986826,0.06631472893059254
41,0.11778820678591728,0.07093928754329681
42,0.11174187968884196,0.06284898333251476
43,0.11399254868073123,0.06674477830529213
44,0.10389627888798714,0.06524615176022053
45,0.10629460022651724,0.06242350675165653
46,0.12265235292060035,0.07267551496624947
47,0.1023547834317599,0.06358500011265278
48,0.09654429754508394,0.06356090307235718
49,0.09511205021824155,0.0568007230758667
50,0.08726306871644088,0.06344905495643616
51,0.09293240548244544,0.06263601779937744
52,0.0925967428567154,0.061407074332237244
53,0.09306204851184573,0.06062423624098301
54,0.08923045758690153,0.05911041609942913
55,0.08719613536127976,0.08072567358613014
56,0.09122942188488585,0.061257049441337585
57,0.08385146156485591,0.07996158674359322
58,0.09084610993574772,0.0549826305359602
59,0.09050534386187792,0.06366398744285107
60,0.0997740310350699,0.0768831204622984
61,0.09624365038637604,0.06758784130215645
62,0.08911188678549868,0.06015438586473465
63,0.0854649008916957,0.05935489386320114
64,0.0758111587991672,0.06876854784786701
65,0.09186384999858481,0.07271166890859604
66,0.09122393533055272,0.05986926518380642
67,0.08947634045034647,0.05854520946741104
68,0.08066988962569407,0.07411368004977703
69,0.08097856691373247,0.07263969630002975
70,0.08841564027326447,0.06198289804160595
71,0.07711705645280224,0.05813935399055481
72,0.07954235122139965,0.057141322642564774
73,0.08588369589831148,0.058803288266062737
74,0.07443062149520431,0.05701369233429432
75,0.07311629876494408,0.05845104530453682
76,0.0760677834706647,0.06439157202839851
77,0.0863624167229448,0.05134095251560211
78,0.08469122568411487,0.06406182236969471
79,0.07540859960551773,0.06095315143465996
80,0.0746395458866443,0.05822344683110714
81,0.07409263628401927,0.05067976005375385
82,0.07707871576505047,0.05853862874209881
83,0.07129182240792684,0.051627226173877716
84,0.06663700751960278,0.05123280733823776
85,0.07439830087657485,0.05689935199916363
86,0.07567098244492497,0.07933703064918518
87,0.06983993202447891,0.05104824714362621
88,0.06948160586346473,0.04980139434337616
89,0.06947819289884397,0.0584784597158432
90,0.07401845324784517,0.056258609518408775
91,0.06677757941984705,0.05227308161556721
92,0.07035342164869819,0.0567459873855114
93,0.06668666517361999,0.05190143547952175
94,0.06457707698323897,0.04872194305062294
95,0.07125702699912446,0.07299960777163506
96,0.07548008426757795,0.05133530683815479
97,0.07825237326323986,0.05092920921742916
98,0.07020619910742555,0.05464905686676502
99,0.06867229213405933,0.04970607906579971
100,0.06529089023492166,0.06056045927107334
101,0.0663327570738537,0.04978293180465698
102,0.061604520971221585,0.05091259628534317
103,0.06619392934122256,0.05323900282382965
104,0.06676026932629091,0.047215910628437996
105,0.06720648326777987,0.06045680679380894
106,0.06641553335690073,0.0766739659011364
107,0.07087752435888563,0.06027430482208729
108,0.06470723696319121,0.049516813829541206
109,0.06217353591429336,0.05268861539661884
110,0.06344675013263311,0.049462173134088516
111,0.07157172887985196,0.06255850102752447
112,0.06932633137330413,0.04813174903392792
113,0.0666551714363907,0.053505271673202515
114,0.061243347956665924,0.05102826468646526
115,0.05972287318270121,0.048499926924705505
116,0.05746512460921492,0.05723198875784874
117,0.06357547940154161,0.048468880355358124
118,0.06722374839176025,0.05595791153609753
119,0.060195956113083024,0.04883336089551449
120,0.05789855681359768,0.050366129726171494
121,0.06220088100859097,0.054271917790174484
122,0.06552076965038266,0.06473033502697945
123,0.06691723656175393,0.05496305041015148
124,0.07263669937050768,0.05433018505573273
125,0.06674197422606605,0.05727948993444443
126,0.05845964553632906,0.05079234205186367
127,0.058700036856212785,0.049026647582650185
128,0.0621792493787195,0.05159063637256622
129,0.058164638999317377,0.05108216591179371
130,0.057961885883872,0.0507939625531435
131,0.05867573346144387,0.0506072249263525
132,0.06231715543461697,0.05906279198825359
133,0.05960331677592227,0.046942668966948986
134,0.05982076676030244,0.04890540614724159
135,0.05837184110922473,0.048125648871064186
136,0.05835859424301556,0.04887986369431019
137,0.0597775851908539,0.051066797226667404
138,0.05653792380222252,0.04958619549870491
139,0.05527072073891759,0.0499398447573185
140,0.06026682470526014,0.05181758292019367
141,0.05714742074321423,0.04884752444922924
142,0.05922036584732788,0.05107398424297571
143,0.056199258991650174,0.05781443789601326
144,0.060431739049298425,0.05058951489627361
145,0.06180796452930996,0.05272630415856838
146,0.056772322793092043,0.04720757715404034
147,0.05438319241095867,0.0563748124986887
148,0.056576219986059835,0.05498469062149525
149,0.05655963386275938,0.04806425981223583
150,0.05532597018671887,0.048865847289562225
151,0.05627075070515275,0.05035541206598282
152,0.05158358273495521,0.04990154318511486
153,0.053289217608315606,0.05063379183411598
154,0.056204846993620904,0.04980141296982765
155,0.05149031623399684,0.05028433911502361
156,0.05135109155837979,0.04886846989393234
157,0.055417445089135854,0.050070757046341896
158,0.05881542759016156,0.0535728894174099
159,0.053168669276471646,0.051081668585538864
160,0.05305883813915508,0.0469583161175251
161,0.05664537773866739,0.04638315737247467
162,0.06059427220108254,0.045983051881194115
163,0.05830163195995348,0.04445795528590679
164,0.05298261124906795,0.04922849126160145
165,0.052304582670331,0.055938273668289185
166,0.05461564952773707,0.05616244487464428
167,0.05333213647827506,0.04754132404923439
168,0.05186620108517153,0.053689973428845406
169,0.05798007833904454,0.04479785542935133
170,0.05686485594404595,0.047729384154081345
171,0.0475384747343404,0.046983592212200165
172,0.04982436454987952,0.048241905868053436
173,0.048070840404501984,0.04518964886665344
174,0.049182567678924115,0.048262353986501694
175,0.04997831682807633,0.047324780374765396
176,0.048313890783382316,0.05281878262758255
177,0.048043571412563324,0.04670975171029568
178,0.05024642989571605,0.06541303358972073
179,0.04722629726997444,0.04565188940614462
180,0.04761106547500406,0.04849841631948948
181,0.04810107519317951,0.04676901642233133
182,0.04898144218272397,0.04759400151669979
183,0.047364130217049806,0.052189189940690994
184,0.058464271149465015,0.05812383070588112
185,0.05119201607470002,0.04616644140332937
186,0.046564519604934115,0.04997218772768974
