epoch,train_loss,validation_loss
1,0.38945600266257924,0.3790756016969681
2,0.35130097282429534,0.35426007211208344
3,0.33134446168939274,0.3079708218574524
4,0.3108265021195014,0.2660900950431824
5,0.2860876104484002,0.22564158588647842
6,0.24325763372083506,0.16305523365736008
7,0.21411169009904066,0.1822553053498268
8,0.20563314420481524,0.1373153142631054
9,0.1904329645136992,0.12217312678694725
10,0.18841650181760392,0.11794844642281532
